artist,album,song,url,notes
Arik Einstein,Shablul,lama li lakachat lalev,https://www.youtube.com/watch?v=PIkk1eGFplc,
Arik Einstein,Sa Leat,sa leat,https://www.youtube.com/watch?v=ZwTbFd8kdII,
Arik Einstein,Shablul,ani roeh ota baderech lagimnasia,https://www.youtube.com/watch?v=yYW-8iacVZQ,
Arik Einstein,Shablul,avshalom,https://www.youtube.com/watch?v=TeIc8-Ex5Ic,
Arik Einstein,Shablul,ma ata ose ksheata kam baboker,https://www.youtube.com/watch?v=E_3rcyHK3k0,
Arik Einstein,Badeshe Etsel Avigdor,ani veata,https://www.youtube.com/watch?v=gP6PS-poyMg,
Arik Einstein,Single,yom yom,https://www.youtube.com/watch?v=dLdSPhY-lpc,
Arik Einstein,Hashanim HaRishonot,hachnisini tachat knafech,https://www.youtube.com/watch?v=KmZ2H11cBu0,
Arik Einstein,Mazal Gdi,pizmon leyael,https://www.youtube.com/watch?v=6SUfq2OJ1Bs,
Arik Einstein,Single,yesh li simpatia,https://www.youtube.com/watch?v=7qYtU-44Jvw,
Arik Einstein,Single,tzel etz tamar,https://www.youtube.com/watch?v=4cp9w3mp104,
Arik Einstein,Single,tapuchim utmarim,https://www.youtube.com/watch?v=5hQsMVpP0BQ,
Arik Einstein,Eretz Yisrael Hayeshana Vehatova,atzur mitzchech,https://www.youtube.com/watch?v=WZM4iXT3-ic,
Arik Einstein,Al Gvul Haor,oof gozal,https://www.youtube.com/watch?v=mOd-hetRES0,
Arik Einstein,Single,shemesh retuva,https://www.youtube.com/watch?v=QzSyxz-zLRk,
Arik Einstein,Al Gvul Haor,uf gozal,https://www.youtube.com/watch?v=mOd-hetRES0,
Arik Einstein,Single,praha,https://www.youtube.com/watch?v=XKt0ixf-N88,
Arik Einstein,Yesh Bi Ahava,yesh bi ahava,https://www.youtube.com/watch?v=5WEggKymynE,
Arik Einstein,Al Gvul Haor,shir hashayara,https://www.youtube.com/watch?v=qElqp7mNc8g,
Arik Einstein,Single,ani ohev otach hayom,https://www.youtube.com/watch?v=TAoCGGVmpGg,
Shalom Hanoch,Adam Betoch Atzmo,adam betoch atzmo,https://www.youtube.com/watch?v=vjEbQr56ty4,
Shalom Hanoch,Single,leat leat,https://www.youtube.com/watch?v=zCP25DuIXRk,
Shalom Hanoch,Lo At Lo,lo at lo,https://www.youtube.com/watch?v=zCP25DuIXRk,
Shalom Hanoch,Single,ahavat neorai,https://www.youtube.com/watch?v=5zd_U6X0oEI,
Shalom Hanoch,Single,deja vu,https://www.youtube.com/watch?v=es14YU1lgd4,
Shalom Hanoch,Single,tzemach bar,https://www.youtube.com/watch?v=FJlOr9sAPcQ,
Shalom Hanoch,Single,kol echad rotze,https://www.youtube.com/watch?v=tA7iQt2UjI4,
Shalom Hanoch,Mechakim Lamashiach,mechakim lamashiach,https://www.youtube.com/watch?v=-0i3mev5EvQ,
Shalom Hanoch,Shalom Hanoch,maya,https://www.youtube.com/watch?v=urqQ3V76hXs,
Shalom Hanoch,Shalom Hanoch,layla,https://www.youtube.com/watch?v=cG_chE9vWnE,
Shalom Hanoch,Single,ani achshav,https://www.youtube.com/watch?v=LPtu9YdMwjw,
Shalom Hanoch,Single,shir derech,https://www.youtube.com/watch?v=HMK8SGbvoUQ,
Shalom Hanoch,Single,kacha ve kach,https://www.youtube.com/watch?v=kKTyqRlBNJI,
