artist,album,song,url,notes
Lehakat Pikud Tzafon,Single,malchut hachermon,https://www.youtube.com/watch?v=9i2_5ElRkuY,
Lehakat Pikud Merkaz,Single,givat hatchmoshet,https://www.youtube.com/watch?v=NRP_fXiFFqM,
Lehakat Pikud Merkaz,Single,yesh li ahuv besayeret charuv,https://www.youtube.com/watch?v=J4ERTg_UF2s,
Lehakat Heyl Hayam,Single,rak beisrael,https://www.youtube.com/watch?v=zdtFJOLEeiw,
Lehakat HaNachal,Single,yeshnan banot,https://www.youtube.com/watch?v=OIYeCPUIL1E,
Lehakat Heil Ha'avir,Single,tamid ola hamenagina,https://www.youtube.com/watch?v=5CjPisRG5aE,
The Israeli Air Force Quartet,Single,im telech achshav,https://www.youtube.com/watch?v=xkabfdnPOQg,
Lehakat Pikud Darom,Single,ani met,https://www.youtube.com/watch?v=DL-1oaxu_WA,
Pikud Merkaz Trio,Single,hayom hayom,https://www.youtube.com/watch?v=Z7WkIvv6atU,
Lehakat Heyl Hayam,Single,bo layam,https://www.youtube.com/watch?v=UnkzBRGSCy4,
Lehakat HaNachal,Single,machar,https://www.youtube.com/watch?v=tWs6g7hg0BI,
Lehakat Pikud Darom,Single,hamnon givati,https://www.youtube.com/watch?v=akdk6W1vD9E,
Lehakat Heyl Hayam,Single,chaskah,https://www.youtube.com/watch?v=8TlXK9zk22I,
Lehakat HaNachal,Single,beheachazut hanachal besinai,https://www.youtube.com/watch?v=-dF6wGvudA0,
Lehakat HaNachal,Single,hayiti naar,https://www.youtube.com/watch?v=x9IAj6pxP-k,
Lehakat Geyisot Hashiryon,Single,pshut shiryoner,https://www.youtube.com/watch?v=iJgfprx-mUk,
Lehakat HaNachal,Single,mul har sinai,https://www.youtube.com/watch?v=BHuZFHl7CG8,
Lehakat HaNachal,Single,dina barzilay,https://www.youtube.com/watch?v=By4xP8KhE8I,
Lehakat HaNachal,Single,ruach stav,https://www.youtube.com/watch?v=D2kIstcBISE,
Lehakat Heyl Hayam,Single,hamelach sheli,https://www.youtube.com/watch?v=QCLh39TAk3Q,
Tzevet Havai HaNachal,Single,baaviv at tashuvi chazara,https://www.youtube.com/watch?v=znzvCQn-Lgw,
Lehakat HaNachal,Single,eilu tziporim,https://www.youtube.com/watch?v=zIl86pBPDQc,
Havurat Hazemer Shel Pikud Tzafon,Single,boi iti el hagalil,https://www.youtube.com/watch?v=sa4PK30AxjI,
Lehakat Pikud Merkaz,Single,shiro shel tzanchan,https://www.youtube.com/watch?v=gsVQDPqioXA,
Lehakat Pikud Darom,Single,yona im ale shel zayit,https://www.youtube.com/watch?v=p-jqyGVgzPA,
Lehakat HaNachal,Single,matariah bashnayim,https://www.youtube.com/watch?v=vrTpOb-YtrQ,
Lehakat Pikud Darom,Single,alumim,https://www.youtube.com/watch?v=xPisNPckPYo,
Lehakat HaNachal,Single,tel aviv eina mud'eget,https://www.youtube.com/watch?v=zUY0rH7lbZQ,
Lehakat Heyl Hayam,Single,kshehu gadol,https://www.youtube.com/watch?v=2sfUlbZD-zU,
Lehakat HaNachal,Single,hapruta vehayareach,https://www.youtube.com/watch?v=G0NDM8JqW04,
Lehakat Heyl Hayam,Single,anshei hadmama,https://www.youtube.com/watch?v=u4pbfyVfnCs,
Tzevet Havai Chativat Hatzanchanim,Single,mesaviv lamedura,https://www.youtube.com/watch?v=XoiyiIgFkiM,
Lehakat Heyl Hayam,Single,ein kvar derech chazara,https://www.youtube.com/watch?v=sUJfdvSUcq8,
Lehakat Geyisot Hashiryon,Single,achi hatzair yehuda,https://www.youtube.com/watch?v=R7C8MUDBopA,
Lehakat HaNachal,Single,shteim asar ton,https://www.youtube.com/watch?v=7HAI9lSPpCA,
Lehakat HaNachal,Single,echad gavoha ushnaim ktanim,https://www.youtube.com/watch?v=Mzuw4KPxb8U,
Tzevet Havai Pikud Merkaz,Single,ei sham babikaa,https://www.youtube.com/watch?v=1Py_hPLxPGc,
Lehakat HaNachal,Single,el hanachal,https://www.youtube.com/watch?v=ZtfuN1k7nQw,
Lehakat Geyisot Hashiryon,Single,elifelet,https://www.youtube.com/watch?v=eFXPnzCUj1c,
Lehakat Pikud Darom,Single,elad yarad el hayarden,https://www.youtube.com/watch?v=hDuWb91TYoY,
Lehakat Pikud Merkaz,Single,anachnu meoto hakfar,https://www.youtube.com/watch?v=2iljNf6XqsA,
Lehakat HaNachal,Single,arba achar hatzohorayim,https://www.youtube.com/watch?v=_BzJu3eaUKg,
Lehakat Pikud Merkaz,Single,et eineich si mizracha,https://www.youtube.com/watch?v=6YRiuEIR0IQ,
Lehakat HaNachal,Single,Shir Lashalom,https://www.youtube.com/watch?v=d4JyiXsta10,
Lehakat Pikud Tzafon,Single,beglal masmer,https://www.youtube.com/watch?v=o7vESC28Iqo,
Lehakat HaNachal,Single,beharim kaseh,https://www.youtube.com/watch?v=R4a_6EYio3g,
Lehakat HaNachal,Single,balada leyitzchak sadeh,https://www.youtube.com/watch?v=FDK6cv58J60,
Lehakat HaNachal,Single,balada al mayan veyam,https://www.youtube.com/watch?v=qqmAU2Fn6EU,
Havurat Hazemer Shel Pikud Tzafon,Single,balayla al hadeshe,https://www.youtube.com/watch?v=W4Vx7DgVZxI,
Tzevet Havai Totchanim,Single,beleilot hakayitz hachamim,https://www.youtube.com/watch?v=azKL2oQLedI,
Lehakat HaNachal,Single,besimla aduma,https://www.youtube.com/watch?v=MYlysAaaJE4,
Tzevet Havai Cheil Avir,Single,betocha,https://www.youtube.com/watch?v=djypk8RMhbk,
Lehakat HaNachal,Single,gvanim,https://www.youtube.com/watch?v=ztW3r-dZNKo,
Havurat Hazemer Shel Pikud Tzafon,Single,geshem acharon,https://www.youtube.com/watch?v=t2rje218LGA,
Lehakat HaNachal,Single,geshem bo,https://www.youtube.com/watch?v=fbqNGN6C1Ng,
Lehakat Geyisot Hashiryon,Single,haem hashlishit,https://www.youtube.com/watch?v=h2OehrbqLRA,
Lehakat HaNachal,Single,hu lo yada et shma,https://www.youtube.com/watch?v=0aHgkUP6xQY,
Lehakat HaNachal,Single,hu lo kol kach chacham,https://www.youtube.com/watch?v=XkGgiAMvx9E,
Lehakat HaNachal,Single,hora haheachazut,https://www.youtube.com/watch?v=eV0nVxLwaOk,
Lehakat HaNachal,Single,hachayim hayafim,https://www.youtube.com/watch?v=J7sgDoTBxKQ,
Lehakat Pikud Merkaz,Single,hayamim haacherim,https://www.youtube.com/watch?v=mH5PBVx__Sk,
Lehakat HaNachal,Single,hareut,https://www.youtube.com/watch?v=XSRBg7OUDig,
Lehakat HaNachal,Single,hitchadshut acheret,https://www.youtube.com/watch?v=UOD51gynvJQ,
Lehakat HaNachal,Single,vals lehaganat hatzomeach,https://www.youtube.com/watch?v=BfKQ4bj0JJk,
Lehakat Pikud Tzafon,Single,vechaver ein beyad david,https://www.youtube.com/watch?v=QKpBZl2bJAI,
Lehakat HaNachal,Single,chofsha beadom,https://www.youtube.com/watch?v=HyrWWK79Mec,
Lehakat HaNachal,Single,ya yareach,https://www.youtube.com/watch?v=oOw-NO7VzV4,
Lehakat HaNachal,Single,ya mishlati,https://www.youtube.com/watch?v=FccU3wDQndE,
Lehakat Heyl Hayam,Single,yiddishe piraten,https://www.youtube.com/watch?v=5Y0z4su9cCg,
Lehakat Pikud Tzafon,Single,yael,https://www.youtube.com/watch?v=boJjF48jbK8,
Lehakat Pikud Tzafon,Single,kad hakemach,https://www.youtube.com/watch?v=CeRvSDeJx-I,
Lehakat Pikud Tzafon,Single,kochav hatzafon,https://www.youtube.com/watch?v=ZKmTk9PeGcU,
Lehakat HaNachal,Single,leechad hachayalim,https://www.youtube.com/watch?v=eA_MRXehb2w,
Lehakat Geyisot Hashiryon,Single,layla rishon bli ima,https://www.youtube.com/watch?v=jr3ygEC8g_8,
Lehakat Pikud Tzafon,Single,latzafon beahava,https://www.youtube.com/watch?v=czy1RGQpehg,
Lehakat Heyl Hayam,Single,ma avarech,https://www.youtube.com/watch?v=iFxXwnruO9Y,
Lehakat Heyl Ha'avir,Single,muchrachim lehamshich lenagen,https://www.youtube.com/watch?v=vQFx97lxN1s,
Lehakat HaNachal,Single,machboim,https://www.youtube.com/watch?v=FRu4E3Lw2JU,
Tzevet Havai HaNachal,Single,malach misulam yaakov,https://www.youtube.com/watch?v=W_Tqd4qzkrg,
Lehakat Pikud Tzafon,Single,matok matok,https://www.youtube.com/watch?v=14_gpsByJhk,
Lehakat HaNachal,Single,neum tshuva lerav chovel italki,https://www.youtube.com/watch?v=4DuZQ22fSvw,
Lehakat Pikud Tzafon,Single,ner bachalonech,https://www.youtube.com/watch?v=6KnVuH2_lp8,
Lehakat HaNachal,Single,sayarim,https://www.youtube.com/watch?v=ZdxsyT-MPDY,
Lehakat Pikud Tzafon,Single,od lo tamu kol plaaich,https://www.youtube.com/watch?v=dhtCjondMhA,
Lehakat Heyl Hayam,Single,al em haderech,https://www.youtube.com/watch?v=Xoh_DVe4WcA,
Tzevet Havai Handasa Kravit,Single,tzochek mi shetzochek acharon,https://www.youtube.com/watch?v=NniUsgjnFeU,
Lehakat Pikud Tzafon,Single,kum vehithalech baaretz,https://www.youtube.com/watch?v=wqOdPKo-79U,
Lehakat HaNachal,Single,carnaval banachal,https://www.youtube.com/watch?v=OqYvgqfciTU,
Lehakat HaNachal,Single,rachel rachel,https://www.youtube.com/watch?v=tmvWZDhCuKg,
Lehakat HaNachal,Single,shir haslang,https://www.youtube.com/watch?v=E-7mMbK0zW8,
Lehakat HaNachal,Single,sarit hasaparit,https://www.youtube.com/watch?v=dWuseSHQfJU,
Lehakat HaNachal,Single,totachim bimkom garbayim,https://www.youtube.com/watch?v=D9bpIVT34aw,
Lehakat Pikud Tzafon,Single,tamid otam,https://www.youtube.com/watch?v=fp4sq5a6BuU,
Lehakat HaNachal,Single,haben yakir li,https://www.youtube.com/watch?v=tpMAQyBHLnQ,
Lehakat Geyisot Hashiryon,Single,ikvot haderech,https://www.youtube.com/watch?v=Lo2grgP_PUA,
Lehakat Chinuch Meyuchad,Single,chutz 73,https://www.youtube.com/watch?v=epRXQoGwbVY,
Lehakat Heyl Ha'avir,Single,haya li chaver haya li ach,https://www.youtube.com/watch?v=bSl9CG4-T-c,
Lehakat Pikud Darom,Single,eilat,https://www.youtube.com/watch?v=XHECm_fvsik,
Lehakat Pikud Darom,Single,eretz yisrael yafa,https://www.youtube.com/watch?v=E7Lc_7d4FKQ,
Lehakat Pikud Merkaz,Single,ben gurion,https://www.youtube.com/watch?v=KPu5OJmyImE,
Lehakat Pikud Darom,Single,besayeret sheket,https://www.youtube.com/watch?v=eNMYieSOVXU,
Lehakat Pikud Merkaz,Single,yivn uziyahu,https://www.youtube.com/watch?v=NrNR2z9b01s,
Tzevet Havai HaNachal,Single,zemer shekaze,https://www.youtube.com/watch?v=OPTvDmRUUV0,
Tzevet Havai HaNachal,Single,chofim,https://www.youtube.com/watch?v=9-M9453VDrY,
Lehakat Pikud Merkaz,Single,chayalim yatzu laderech,https://www.youtube.com/watch?v=oJMhpR1Wf_M,
Lehakat Pikud Merkaz,Single,ya lil,https://www.youtube.com/watch?v=ddDYFm794Zw,
Lehakat Pikud Merkaz,Single,kineret,https://www.youtube.com/watch?v=-nzLbN3sFRQ,
Lehakat Pikud Darom,Single,lehitraot,https://www.youtube.com/watch?v=pWO6Q4Tk-SY,
Lehakat Pikud Merkaz,Single,michtav katan,https://www.youtube.com/watch?v=Ye6Gdskea9g,
Lehakat Pikud Merkaz,Single,makpelot hamatznachim,https://www.youtube.com/watch?v=vSVCfb5QprI,
Lehakat Pikud Merkaz,Single,nagan akordeon,https://www.youtube.com/watch?v=t5GHVb92RQo,
Lehakat Pikud Merkaz,Single,shomer hachomot,https://www.youtube.com/watch?v=pS2rl8q3epg,
Lehakat Pikud Darom,Single,shivchei maoz,https://www.youtube.com/watch?v=XgN-TnNXZio,
