step,train_loss,val_loss,lr,grad_norm
0,0.844341,,1.00e-05,0.2987
100,0.796017,,1.00e-05,0.0264
200,0.789511,,1.01e-05,0.0385
300,0.762595,,1.51e-05,0.0624
400,0.735567,,2.01e-05,0.1184
500,0.698740,,2.51e-05,0.1501
600,0.667499,,3.01e-05,0.1531
700,0.637895,,3.51e-05,0.2899
800,0.600981,,4.01e-05,0.2701
900,0.583899,,4.50e-05,0.3501
1000,0.555244,,5.01e-05,0.4719
1100,0.519862,,5.51e-05,0.4257
1200,0.504926,,6.01e-05,0.4839
1300,0.484391,,6.50e-05,0.5172
1400,0.474985,,7.00e-05,0.5235
1500,0.410315,,7.51e-05,0.5947
1600,0.453948,,8.01e-05,0.4964
1700,0.422945,,8.51e-05,0.4828
1800,0.367510,,9.01e-05,0.5123
1900,0.378722,,9.51e-05,0.5434
2000,0.345749,,1.00e-04,0.6170
2000,,0.319116,,
2100,0.340682,,1.00e-04,0.6021
2200,0.320208,,1.00e-04,0.5933
2300,0.305388,,1.00e-04,0.5138
2400,0.316385,,1.00e-04,0.5555
2500,0.308282,,1.00e-04,0.5591
2600,0.282991,,1.00e-04,0.5140
2700,0.258553,,1.00e-04,0.5069
2800,0.282928,,1.00e-04,0.5876
2900,0.258193,,1.00e-04,0.5921
3000,0.244136,,1.00e-04,0.4688
3100,0.263322,,1.00e-04,0.4821
3200,0.257853,,1.00e-04,0.6476
3300,0.292946,,1.00e-04,0.7030
3400,0.251763,,1.00e-04,0.5975
3500,0.262047,,1.00e-04,0.5525
3600,0.222621,,1.00e-04,0.5285
3700,0.249769,,1.00e-04,0.5923
3800,0.250667,,1.00e-04,0.5021
3900,0.199946,,1.00e-04,0.4709
4000,0.204970,,1.00e-04,0.4178
4000,,0.204025,,
4100,0.219235,,1.00e-04,0.4879
4200,0.219689,,1.00e-04,0.4797
4300,0.210858,,1.00e-04,0.5071
4400,0.207315,,1.00e-04,0.5335
4500,0.185319,,1.00e-04,0.4607
4600,0.218231,,1.00e-04,0.4407
4700,0.197672,,1.00e-04,0.5579
4800,0.162499,,1.00e-04,0.4124
4900,0.175880,,1.00e-04,0.4781
5000,0.194501,,1.00e-04,0.4261
5100,0.203506,,1.00e-04,0.4099
5200,0.200703,,1.00e-04,0.4336
5300,0.210246,,1.00e-04,0.4983
5400,0.151767,,1.00e-04,0.4086
5500,0.165243,,1.00e-04,0.3821
5600,0.176404,,1.00e-04,0.3827
5700,0.228638,,1.00e-04,0.4849
5800,0.210137,,1.00e-04,0.5518
5900,0.189339,,1.00e-04,0.4541
6000,0.183211,,1.00e-04,0.4463
6000,,0.184159,,
6100,0.195604,,1.00e-04,0.3860
6200,0.179154,,1.00e-04,0.5052
6300,0.172956,,1.00e-04,0.4017
6400,0.167557,,1.00e-04,0.3731
6500,0.165576,,1.00e-04,0.5054
6600,0.191357,,1.00e-04,0.4620
6700,0.143870,,1.00e-04,0.4159
6800,0.157904,,1.00e-04,0.3724
6900,0.165862,,1.00e-04,0.3484
7000,0.151061,,1.00e-04,0.2993
7100,0.150577,,1.00e-04,0.3764
7200,0.186599,,1.00e-04,0.5125
7300,0.146145,,1.00e-04,0.4787
7400,0.136709,,1.00e-04,0.3991
7500,0.184806,,1.00e-04,0.3890
7600,0.141060,,1.00e-04,0.4046
7700,0.117166,,1.00e-04,0.3298
7800,0.170367,,1.00e-04,0.3567
7900,0.158647,,1.00e-04,0.3159
8000,0.148810,,1.00e-04,0.3866
8000,,0.169107,,
8100,0.213685,,1.00e-04,0.3688
8200,0.142577,,1.00e-04,0.3888
8300,0.184814,,1.00e-04,0.3711
8400,0.147801,,1.00e-04,0.4037
8500,0.156274,,1.00e-04,0.3380
8600,0.141093,,1.00e-04,0.3224
8700,0.172391,,1.00e-04,0.3708
8800,0.182521,,1.00e-04,0.4069
8900,0.147954,,1.00e-04,0.2869
9000,0.223554,,1.00e-04,0.3677
9100,0.173318,,1.00e-04,0.3052
9200,0.134226,,1.00e-04,0.3540
9300,0.134505,,1.00e-04,0.2919
9400,0.121524,,1.00e-04,0.2991
9500,0.154064,,1.00e-04,0.3377
9600,0.147037,,1.00e-04,0.3442
9700,0.179853,,1.00e-04,0.3366
9800,0.189781,,1.00e-04,0.3348
9900,0.159349,,1.00e-04,0.3367
10000,0.168302,,1.00e-04,0.3615
10000,,0.153256,,
10100,0.128613,,1.00e-04,0.3195
10200,0.148883,,1.00e-04,0.3028
10300,0.203161,,1.00e-04,0.2527
10400,0.118898,,1.00e-04,0.3228
10500,0.148896,,1.00e-04,0.3023
10600,0.134377,,1.00e-04,0.2459
10700,0.134583,,1.00e-04,0.3039
10800,0.149455,,1.00e-04,0.3440
10900,0.149843,,1.00e-04,0.2965
11000,0.118429,,1.00e-04,0.3115
11100,0.138032,,1.00e-04,0.3529
11200,0.125858,,1.00e-04,0.3267
11300,0.154138,,1.00e-04,0.2862
11400,0.154252,,1.00e-04,0.2922
11500,0.153498,,1.00e-04,0.2620
11600,0.144008,,1.00e-04,0.3138
11700,0.153583,,1.00e-04,0.2917
11800,0.133652,,1.00e-04,0.3356
11900,0.144379,,1.00e-04,0.3228
12000,0.158304,,1.00e-04,0.3055
12000,,0.158355,,
12100,0.162769,,1.00e-04,0.2082
12200,0.148534,,1.00e-04,0.3097
12300,0.146666,,1.00e-04,0.3372
12400,0.164771,,1.00e-04,0.2936
12500,0.190562,,1.00e-04,0.2516
12600,0.141295,,1.00e-04,0.3313
12700,0.181962,,1.00e-04,0.3612
12800,0.132162,,1.00e-04,0.2976
12900,0.140967,,1.00e-04,0.2758
13000,0.156677,,1.00e-04,0.3089
13100,0.154482,,1.00e-04,0.2812
13200,0.156483,,1.00e-04,0.2898
13300,0.121795,,1.00e-04,0.2682
13400,0.137286,,1.00e-04,0.3481
13500,0.121759,,1.00e-04,0.3004
13600,0.151736,,1.00e-04,0.2980
13700,0.200530,,1.00e-04,0.2798
13800,0.154314,,1.00e-04,0.2487
13900,0.146148,,1.00e-04,0.3491
14000,0.185279,,1.00e-04,0.2970
14000,,0.150587,,
14100,0.160094,,1.00e-04,0.3166
14200,0.158040,,1.00e-04,0.2988
14300,0.153650,,1.00e-04,0.2941
14400,0.109499,,1.00e-04,0.2923
14500,0.164910,,1.00e-04,0.2854
14600,0.177303,,1.00e-04,0.3231
14700,0.146140,,1.00e-04,0.3406
14800,0.163933,,1.00e-04,0.3708
14900,0.138317,,1.00e-04,0.3130
15000,0.123409,,1.00e-04,0.3033
15100,0.138029,,1.00e-04,0.3094
15200,0.122527,,1.00e-04,0.2984
15300,0.153502,,1.00e-04,0.3071
15400,0.169753,,1.00e-04,0.2796
15500,0.098143,,1.00e-04,0.3220
15600,0.147681,,1.00e-04,0.2609
15700,0.152198,,1.00e-04,0.2863
15800,0.174904,,1.00e-04,0.2805
15900,0.156281,,1.00e-04,0.2811
