step,train_loss,val_loss,lr,grad_norm
0,0.841910,,1.00e-05,0.2903
100,0.795089,,1.00e-05,0.0281
0,0.846825,,1.00e-05,0.3037
100,0.797969,,1.00e-05,0.0252
200,0.790573,,1.01e-05,0.0404
300,0.767246,,1.51e-05,0.0625
400,0.737541,,2.01e-05,0.0969
500,0.702476,,2.51e-05,0.1402
600,0.666119,,3.01e-05,0.1600
700,0.645411,,3.51e-05,0.1910
800,0.605921,,4.01e-05,0.2748
900,0.581993,,4.50e-05,0.3151
1000,0.546850,,5.01e-05,0.3507
1100,0.542132,,5.51e-05,0.4179
1200,0.500478,,6.01e-05,0.4899
1300,0.469316,,6.50e-05,0.5181
1400,0.465391,,7.00e-05,0.6298
1500,0.432088,,7.51e-05,0.5702
1600,0.407633,,8.01e-05,0.6007
1700,0.402236,,8.51e-05,0.6725
1800,0.391362,,9.01e-05,0.5033
1900,0.331316,,9.51e-05,0.5584
2000,0.386057,,1.00e-04,0.6491
2000,,0.322321,,
2100,0.291686,,1.00e-04,0.6130
2200,0.354106,,1.00e-04,0.5836
2300,0.381170,,1.00e-04,0.6093
2400,0.311197,,1.00e-04,0.6968
2500,0.319317,,1.00e-04,0.6373
2600,0.285286,,1.00e-04,0.5308
2700,0.292876,,1.00e-04,0.5953
2800,0.232116,,1.00e-04,0.5024
2900,0.259694,,1.00e-04,0.6037
3000,0.271790,,1.00e-04,0.5783
3100,0.253410,,1.00e-04,0.6156
3200,0.258222,,1.00e-04,0.6130
3300,0.225964,,1.00e-04,0.6415
3400,0.264007,,1.00e-04,0.6084
3500,0.202003,,1.00e-04,0.5575
3600,0.247140,,1.00e-04,0.5616
3700,0.204274,,1.00e-04,0.4702
3800,0.240696,,1.00e-04,0.5189
3900,0.222548,,1.00e-04,0.6735
4000,0.205262,,1.00e-04,0.4192
4000,,0.203720,,
4100,0.203209,,1.00e-04,0.6502
4200,0.206106,,1.00e-04,0.4916
4300,0.246886,,1.00e-04,0.5569
4400,0.194709,,1.00e-04,0.5382
4500,0.215741,,1.00e-04,0.5962
4600,0.197388,,1.00e-04,0.5788
4700,0.177763,,1.00e-04,0.4840
4800,0.232201,,1.00e-04,0.5671
4900,0.213837,,1.00e-04,0.4587
5000,0.173239,,1.00e-04,0.4737
5100,0.215365,,1.00e-04,0.4883
5200,0.217246,,1.00e-04,0.4741
5300,0.211135,,1.00e-04,0.4729
5400,0.170508,,1.00e-04,0.4198
5500,0.190448,,1.00e-04,0.4382
