step,train_loss,val_loss,lr,grad_norm
0,0.840480,,1.00e-05,0.2753
100,0.795203,,1.00e-05,0.0273
200,0.786746,,1.01e-05,0.0501
300,0.763239,,1.51e-05,0.0617
400,0.725166,,2.01e-05,0.0888
500,0.696538,,2.51e-05,0.1706
600,0.663291,,3.01e-05,0.1888
700,0.638926,,3.51e-05,0.2564
800,0.629689,,4.01e-05,0.2684
900,0.585236,,4.50e-05,0.3058
1000,0.558843,,5.01e-05,0.3135
1100,0.541520,,5.51e-05,0.4135
1200,0.492745,,6.01e-05,0.4784
1300,0.472847,,6.50e-05,0.5058
1400,0.449030,,7.00e-05,0.5649
1500,0.416175,,7.51e-05,0.5236
1600,0.409942,,8.01e-05,0.5590
1700,0.409633,,8.51e-05,0.7724
1800,0.380086,,9.01e-05,0.6352
1900,0.350914,,9.51e-05,0.7423
2000,0.335541,,1.00e-04,0.5762
2000,,0.317990,,
2100,0.442084,,1.00e-04,0.4259
2200,0.426745,,1.00e-04,0.6396
2300,0.399236,,1.00e-04,0.5133
2400,0.378185,,1.00e-04,0.4605
2500,0.357436,,1.00e-04,0.5611
2600,0.379602,,1.00e-04,0.5234
2700,0.348915,,1.00e-04,0.5325
2800,0.336010,,1.00e-04,0.5653
2900,0.295638,,1.00e-04,0.4883
3000,0.336423,,1.00e-04,0.6341
3100,0.323947,,1.00e-04,0.6206
3200,0.289720,,1.00e-04,0.4850
3300,0.283717,,1.00e-04,0.5999
3400,0.277325,,1.00e-04,0.4835
3500,0.266675,,1.00e-04,0.6884
3600,0.296800,,1.00e-04,0.5551
3700,0.292661,,1.00e-04,0.8412
3800,0.252482,,1.00e-04,0.6677
3900,0.234851,,1.00e-04,0.5717
4000,0.246440,,1.00e-04,0.6370
4000,,0.221647,,
4100,0.275448,,1.00e-04,0.6311
4200,0.301343,,1.00e-04,0.6369
4300,0.278039,,1.00e-04,0.4836
4400,0.280353,,1.00e-04,0.4912
4500,0.272981,,1.00e-04,0.5913
4600,0.263749,,1.00e-04,0.5873
4700,0.265800,,1.00e-04,0.5119
4800,0.320195,,1.00e-04,0.5060
4900,0.228502,,1.00e-04,0.5644
5000,0.212842,,1.00e-04,0.4643
5100,0.246118,,1.00e-04,0.4785
5200,0.215931,,1.00e-04,0.6043
5300,0.210037,,1.00e-04,0.5413
5400,0.199859,,1.00e-04,0.5637
5500,0.193912,,1.00e-04,0.5342
5600,0.199096,,1.00e-04,0.5380
5700,0.201103,,1.00e-04,0.5412
5800,0.249012,,1.00e-04,0.6801
5900,0.192574,,1.00e-04,0.4687
6000,0.190528,,1.00e-04,0.5688
6000,,0.186462,,
6100,0.278677,,1.00e-04,0.5711
6200,0.273808,,1.00e-04,0.5580
6300,0.214381,,1.00e-04,0.5670
6400,0.256857,,1.00e-04,0.5974
6500,0.193206,,1.00e-04,0.5077
6600,0.190497,,1.00e-04,0.4639
6700,0.200380,,1.00e-04,0.7051
6800,0.169111,,1.00e-04,0.4383
6900,0.227037,,1.00e-04,0.6500
7000,0.211149,,1.00e-04,0.5960
7100,0.202045,,1.00e-04,0.5842
7200,0.187730,,1.00e-04,0.4478
7300,0.174535,,1.00e-04,0.4895
7400,0.202064,,1.00e-04,0.5901
7500,0.197871,,1.00e-04,0.5589
7600,0.193239,,1.00e-04,0.4007
7700,0.175225,,1.00e-04,0.4180
7800,0.183460,,1.00e-04,0.4278
7900,0.143739,,1.00e-04,0.3911
8000,0.196579,,1.00e-04,0.5257
8000,,0.177415,,
8100,0.241791,,1.00e-04,0.4781
8200,0.198662,,1.00e-04,0.4766
8300,0.208481,,1.00e-04,0.4649
8400,0.200539,,1.00e-04,0.4902
8500,0.192676,,1.00e-04,0.4413
8600,0.165309,,1.00e-04,0.4721
8700,0.201131,,1.00e-04,0.4710
8800,0.163870,,1.00e-04,0.3749
8900,0.185192,,1.00e-04,0.4293
9000,0.195076,,1.00e-04,0.4402
9100,0.184031,,1.00e-04,0.4467
9200,0.199341,,1.00e-04,0.4973
9300,0.163156,,1.00e-04,0.3851
9400,0.157124,,1.00e-04,0.4697
9500,0.162402,,1.00e-04,0.4407
9600,0.130796,,1.00e-04,0.4300
9700,0.134477,,1.00e-04,0.4276
9800,0.160028,,1.00e-04,0.4649
9900,0.154627,,1.00e-04,0.3740
10000,0.170108,,1.00e-04,0.4596
10000,,0.174949,,
10100,0.172948,,1.00e-04,0.4982
10200,0.175755,,1.00e-04,0.4654
10300,0.176400,,1.00e-04,0.4900
10400,0.163507,,1.00e-04,0.3713
10500,0.158829,,1.00e-04,0.4816
10600,0.178233,,1.00e-04,0.5217
10700,0.178545,,1.00e-04,0.3604
10800,0.169830,,1.00e-04,0.3728
10900,0.154449,,1.00e-04,0.4801
11000,0.151737,,1.00e-04,0.3789
11100,0.154753,,1.00e-04,0.3562
11200,0.204337,,1.00e-04,0.4795
11300,0.184933,,1.00e-04,0.4178
11400,0.152252,,1.00e-04,0.4239
11500,0.170238,,1.00e-04,0.3403
11600,0.155878,,1.00e-04,0.3086
11700,0.168402,,1.00e-04,0.3552
11800,0.172262,,1.00e-04,0.3386
11900,0.131687,,1.00e-04,0.3723
12000,0.152521,,1.00e-04,0.3551
12000,,0.163003,,
12100,0.189284,,1.00e-04,0.3918
12200,0.158648,,1.00e-04,0.4545
12300,0.187677,,1.00e-04,0.3836
12400,0.156404,,1.00e-04,0.3461
12500,0.175382,,1.00e-04,0.4051
12600,0.144582,,1.00e-04,0.3260
12700,0.147914,,1.00e-04,0.3433
12800,0.161573,,1.00e-04,0.3244
12900,0.192069,,1.00e-04,0.4344
13000,0.163632,,1.00e-04,0.4045
13100,0.153174,,1.00e-04,0.3727
13200,0.162321,,1.00e-04,0.4590
13300,0.132618,,1.00e-04,0.3566
13400,0.194196,,1.00e-04,0.3872
13500,0.125966,,1.00e-04,0.3015
13600,0.154678,,1.00e-04,0.3894
13700,0.167836,,1.00e-04,0.4458
13800,0.184825,,1.00e-04,0.3411
13900,0.142419,,1.00e-04,0.3317
14000,0.145539,,1.00e-04,0.2842
14000,,0.160626,,
14100,0.134241,,1.00e-04,0.3434
14200,0.139397,,1.00e-04,0.4452
14300,0.152115,,1.00e-04,0.2842
14400,0.161074,,1.00e-04,0.3463
14500,0.161669,,1.00e-04,0.3211
14600,0.183861,,1.00e-04,0.2998
14700,0.176602,,1.00e-04,0.3093
14800,0.169847,,1.00e-04,0.2783
14900,0.142996,,1.00e-04,0.3226
15000,0.220157,,1.00e-04,0.3557
15100,0.173187,,1.00e-04,0.3576
15200,0.170526,,1.00e-04,0.3975
15300,0.168945,,1.00e-04,0.3304
15400,0.159186,,1.00e-04,0.3183
15500,0.153232,,1.00e-04,0.3223
15600,0.197729,,1.00e-04,0.3446
15700,0.173832,,1.00e-04,0.3614
15800,0.132264,,1.00e-04,0.3417
15900,0.147733,,1.00e-04,0.3076
16000,0.132571,,1.00e-04,0.2855
16000,,0.153353,,
16100,0.144301,,1.00e-04,0.2861
16200,0.119116,,1.00e-04,0.3732
16300,0.172048,,1.00e-04,0.3123
16400,0.150760,,1.00e-04,0.3919
16500,0.152304,,1.00e-04,0.3545
16600,0.152480,,1.00e-04,0.2897
16700,0.168267,,1.00e-04,0.4186
16800,0.107921,,1.00e-04,0.3382
16900,0.185152,,1.00e-04,0.3679
17000,0.163654,,1.00e-04,0.3905
17100,0.161522,,1.00e-04,0.2761
17200,0.128599,,1.00e-04,0.3016
17300,0.149886,,1.00e-04,0.3124
17400,0.152493,,1.00e-04,0.2868
17500,0.122683,,1.00e-04,0.2674
17600,0.144375,,1.00e-04,0.3142
17700,0.150485,,1.00e-04,0.3323
17800,0.131177,,1.00e-04,0.3385
17900,0.149939,,1.00e-04,0.2975
18000,0.136190,,1.00e-04,0.3008
18000,,0.145915,,
18100,0.143450,,1.00e-04,0.3680
18200,0.145606,,1.00e-04,0.2746
18300,0.158587,,1.00e-04,0.4035
18400,0.133062,,1.00e-04,0.2964
18500,0.149476,,1.00e-04,0.3839
18600,0.107659,,1.00e-04,0.2778
18700,0.146330,,1.00e-04,0.2862
18800,0.154996,,1.00e-04,0.3469
18900,0.163222,,1.00e-04,0.3067
19000,0.144827,,1.00e-04,0.3408
19100,0.139073,,1.00e-04,0.3182
19200,0.120109,,1.00e-04,0.2760
19300,0.191665,,1.00e-04,0.3229
19400,0.158141,,1.00e-04,0.3104
19500,0.141428,,1.00e-04,0.3101
19600,0.183917,,1.00e-04,0.3575
19700,0.111427,,1.00e-04,0.3255
19800,0.155373,,1.00e-04,0.3066
19900,0.116454,,1.00e-04,0.3428
20000,0.140833,,1.00e-04,0.2785
20000,,0.154415,,
20100,0.211347,,1.00e-04,0.3018
20200,0.133899,,1.00e-04,0.3170
20300,0.140474,,1.00e-04,0.3456
20400,0.130929,,1.00e-04,0.3021
20500,0.163792,,1.00e-04,0.2831
20600,0.145791,,1.00e-04,0.3285
20700,0.151247,,1.00e-04,0.2943
20800,0.117671,,1.00e-04,0.3747
20900,0.121763,,1.00e-04,0.3205
21000,0.128317,,1.00e-04,0.3026
21100,0.178266,,1.00e-04,0.3496
21200,0.130311,,1.00e-04,0.3349
21300,0.114201,,1.00e-04,0.3068
21400,0.137571,,1.00e-04,0.4082
21500,0.189757,,1.00e-04,0.2861
21600,0.142108,,1.00e-04,0.3445
21700,0.132877,,1.00e-04,0.2986
